标志,ID,人物,位置,内容,跳转,效果,目标
#,0,患者,右,医生，我咳嗽已经很久了，一直都是干咳，而且尤其是晚上更加严重，睡眠都影响了。,1,,
#,1,,,请选择你要提问的问题,2,,
&,2,,,咳嗽时间,8,,
&,3,,,咳嗽类型,10,,
&,4,,,是否咳痰,12,,
&,5,,,咳嗽类型,14,,
&,6,,,是否口干舌燥,16,,
&,7,,,张嘴,18,,
#,8,中医医生,左,你的咳嗽通常发生在什么时候,9,,
#,9,患者,右,我通常咳嗽发生在晚上。,2,,
#,10,中医医生,左,是干性咳嗽还是湿性咳嗽呢？,11,,
#,11,患者,右,一直都是干咳。,2,,
#,12,中医医生,左,有没有咳痰？,13,,
#,13,患者,右,没有痰。,2,,
#,14,中医医生,左,有没有伴随胸闷、气短、喉咙干燥或者咽喉肿痛的症状？,15,,
#,15,患者,右,有时候会伴随胸闷和喉咙干燥的感觉。,2,,
#,16,中医医生,左,你经常感到口干、咽喉干燥吗？,17,,
#,17,患者,右,有时候感到口干、咽喉干燥的情况。,2,,
#,18,中医医生,左,嘴巴张开看看。,19,,
#,19,患者,右,啊（吐舌头）,20,,
&,20,,,肺气不足,22,,
&,21,,,肺燥或肺阴亏损,25,,
#,22,中医医生,左,从你的症状来看，你的咳嗽很可能是由于肺气不足引起的。,23,,
#,23,旁白,,……,24,,
#,24,旁白,,游戏结束，好像有点不对劲呢，要不要重新尝试一下。,28,,
#,25,中医医生,左,从你的症状来看，你的咳嗽很可能与肺燥或肺阴亏损有关。你的症状可以配合使用某些中药进行调理，同时建议你改变不良的生活习惯，如减少吸烟、保持良好的室内空气质量、适当运动等，这样才能达到更理想的效果。,26,,
#,26,旁白,,……,27,,
#,27,旁白,,游戏结束，恭喜你完成此次的关卡。,28,,
END,28,,,,,,
